,STT,Mã học phần,Tên học phần,Thời lượng,Số tín chỉ,TC học phí,Viện Quản lý,Học phần điều kiện,Tên tiếng anh,Trọng số,Mục tiêu,Nội dung
3351,3351,FL1609,Tiếng Pháp VP 9,1(1-1-0-4),1,2,KNN, ,French VP 9,0.7,,
3352,3352,FL2010,Tiếng Anh KHKT,2(2-1-0-4),2,3,KNN,FL1020,English for Science & Engineering,0.7,,
3353,3353,FL2011,Tiếng Anh KSCLC III,2(2-1-0-4),2,3,KNN, ,English for Engineers III,0.5,,
3354,3354,FL2012,Tiếng Anh VN III,2(2-1-0-4),2,3,KNN, ,English III,0.7,,
3355,3355,FL2013,Tiếng Anh VN IV,2(2-1-0-4),2,3,KNN, ,English IV,0.7,,
3356,3356,FL2013x,Tiếng Anh KHKT,3(2-2-0-4),3,4,KNN, ,English for Science & Engineering,0.7,,
3357,3357,FL2016,Kỹ năng viết TA III,2(2-0-0-4),2,2,KNN, ,Writing Skills III,0.5,,
3358,3358,FL201x,Tiếng Anh KHKT,3(2-2-0-4),3,4,KNN, ,English for Science & Engineering,0.7,,
3359,3359,FL2026,Tiếng Anh KHKT,2(2-0-0-4),2,2,KNN, ,English for Science & Engineering,0.5,,
3360,3360,FL2100,Toeic NC1,4(3-3-0-8),0,6,KNN, ,Toeic Advanced 1,0.7,,
3361,3361,FL2101,Toeic NC2,4(3-3-0-8),0,6,KNN, ,Toeic Advanced 2,0.7,,
3362,3362,FL2102,Toeic NC3,4(3-3-0-8),0,6,KNN, ,Toeic Advanced 3,0.7,,
3363,3363,FL2103,Toeic NC4,4(3-3-0-8),0,6,KNN, ,Toeic Advanced 4,0.7,,
3364,3364,FL2113,Tiếng Anh KHKT,3(2-2-0-4),3,4,KNN, ,English for Science & Engineering,0.7,,
3365,3365,FL3006,Kỹ năng giao tiếp nhóm,3(2-1-0-6),3,3,KNN, ,Group Communication,0.5,,
3366,3366,FL3011,Kỹ năng nói tiếng Anh I,2(2-1-0-4),2,3,KNN, ,Speaking Skills I,0.5,"Cung cấp kiến thức về các thành tố cơ bản trong phát âm tiếng Anh: phụ âm,
nguyên âm, cụm phụ âm, trọng âm và nhịp điệu, nối âm và ngữ điệu. Đồng thời,
sinh viên sẽ được trang bị các kỹ năng giao tiếp cơ bản, có thể thực hiện các
cuộc hội thoại với các mẫu ngôn ngữ chuẩn và tham gia vào các cuộc thảo luận,
có khả năng trình bày ý kiến đơn giản bằng tiếng Anh.","Các thành tố chính trong hệ thống phát âm tiếng Anh: nguyên âm, phụ âm, cụm
phụ âm, trọng âm và nhịp điệu, nối âm và ngữ điệu. Một số chức năng ngôn ngữ
cơ bản gồm chào hỏi, giới thiệu, làm quen, mở đầu và kết thúc một hội thoại,
cách xưng hô, cám ơn, xin lỗi và cách đáp từ, mời và đáp lại, khen tặng và
cách đáp từ, cách duy trì một cuộc hội thoại, thu hút sự chú ý, và xen ngang,
cách gợi ý và đưa lời khuyên, so sánh người và sự vật để nêu điểm giống nhau
và khác biệt."
3367,3367,FL3012,Kỹ năng nói tiếng Anh II,2(2-1-0-4),2,3,KNN,FL3011,Speaking Skills II,0.5,"Sau khi kết thúc học phần, sinh viên sẽ nắm được các kỹ năng giao tiếp cơ bản,
có thể thực hiện các cuộc hội thoại với các mẫu ngôn ngữ chuẩn và tham gia vào
các cuộc thảo luận.","Kỹ năng nói 2 tập trung xây dựng và phát triển các kỹ năng giao tiếp dưới dạng
các chức năng ngôn ngữ cơ bản cho sinh viên. Trên cơ sở đó sinh viên có thể
thực hiện các cuộc hội thoại với những mẫu ngôn ngữ chuẩn nhằm truyền tải
chính xác các mục đích giao tiếp của mình cho sinh viên lòng yêu mến cũng như
tính cẩn trọng."
3368,3368,FL3013,Kỹ năng nói tiếng Anh III,3(2-2-0-6),3,4,KNN,FL3012,Speaking Skills III,0.5,"Sau khi kết thúc học phần, sinh viên có thể vận dụng các kỹ năng để thực hiện
một bài thuyết trình, informative và persuasive.","Cung cấp các kỹ thuật cơ bản để thực hiện một bài thuyết trình, lý thuyết và
thực hành hai loại bài thuyết trình: loại cung cấp thông tin (Informative
Speech) và loại thuyết phục (Persuasive Speech)."
3369,3369,FL3014,Kỹ năng nói tiếng Anh IV,3(3-1-0-6),3,4,KNN,FL3013,Speaking Skills IV,0.5,,
3370,3370,FL3021,Kỹ năng nghe tiếng Anh I,2(2-1-0-4),2,3,KNN, ,Listening Skills I,0.6,"Sau khi kết thúc học phần sinh viên đạt được các kỹ năng nghe cơ bản, như nghe
từ khóa, nghe thông tin chi tiết, nghe ý chính, nghe để sắp xếp trật tự thông
tin, nghe và chọn thông tin đúng với chính người học.","Tập trung vào các chủ đề như ngày nghỉ cuối tuần, giao thông trong thành phố,
các bữa tiệc, các vấn đề về sức khỏe, công việc, tập thể dục, lời mời, sở
thích và giải trí, mua sắm, dịch vụ khách sạn, phim ảnh, lời nhắn điện thoại,
đi thăm thành phố, sân bay, các môn học ở trường, các thủ tục tại sân bay,
miêu tả người, các thông tin địa lý, miêu tả nhả ở, cách diễn đạt các yêu cầu
tại công sở, thông tin du lịch, đi nhà hàng…"
3371,3371,FL3022,Kỹ năng nghe tiếng Anh II,3(2-2-0-6),3,4,KNN,FL3021/FL1017,Listening Skills II,0.6,"* Kết thúc học phần, sinh viên được củng cố và phát triển các kỹ năng nghe cơ bản như nghe từ khóa, nghe thông tin chi tiết, nghe ý chính, nghe để sắp xếp trật tự thông tin. 
  * Ngoài ra, sinh viên bắt đầu học kỹ thuật nghe bài giảng và ghi chép thông tin với các các yêu cầu như ghi lại ý chính và thông tin chi tiết, các miêu tả, ngày và sự kiện, các con số, các câu hỏi, định nghĩa, nguyên nhân và kết quả, ví dụ, so sánh và đối chiếu…","Kỹ năng nghe TA II tập trung vào các chủ đề như tính cách con người, tặng quà,
trách nhiệm trong công việc, thời trang, vật dụng gia đình, các biến thể trong
tiếng Anh, quảng cáo, kinh doanh, lái xe, di du lịch, chỉ đường, trường đại
học, internet, phỏng vấn, tâm lý học, sinh học, nghệ thuật, lịch sử, phương
tiện truyền thông, ngôn ngữ học, thiên văn học, đạo đức, sức khỏe cộng đồng,
kinh doanh, thống kê, công nghệ…"
3372,3372,FL3023,Kỹ năng nghe tiếng Anh III,3(2-2-0-6),3,4,KNN,FL3022,Listening Skills III,0.6,"* Kết thúc học phần sinh viên củng cố và phát triển kỹ năng nghe bài giảng, chương trình phát thanh, hội thoại, chương trình truyền hình, phỏng vấn, cuộc nói chuyện và ghi chép thông tin với các yêu cầu nghe cụ thể như sau: nghe và nhận dạng từ mới, nghe ý chính, nghe thông tin chi tiết, nghe so sánh và đối chiếu, nghe ngôn ngữ kỹ thuật, nghe cách diễn đạt sự không chắc chắn… 
  * Ngoài ra khóa học này sẽ giúp sinh viên phát triển kỹ năng nghe cần thiết để chuẩn bị cho kỳ thi quốc tế IELTS (International English Language Testing System). Sinh viên được trang bị các kỹ năng nghe cần thiết cho kỳ thi quốc tế IELTS như nghe trả lời câu hỏi, nghe thông tin chi tiết, nghe và phân biệt giữa ví dụ và ý chính, nghe tiêu đề và ý chính, nghe và sắp xếp thông tin theo trật tự thời gian, nghe hiểu nguyên nhân và kết quả.","Kỹ năng nghe 3 tập trung vào các chủ đề như viễn thông, nghệ thuật hình ảnh,
xã hội học, y học, lịch sử, khoa học trái đất, khoa học xã hội, tâm lý học,
kinh doanh, khoa học không gian, thiên văn học, các tình huống tại trường đại
học…"
3373,3373,FL3024,Kỹ năng nghe tiếng Anh IV,3(2-2-0-6),3,4,KNN,FL3023,Listening Skills IV,0.65,,
3374,3374,FL3031,Kỹ năng đọc tiếng Anh I,2(2-1-0-4),2,3,KNN, ,Reading Skills I,0.6,"* Cuối khóa học, sinh viên sẽ nắm được các kỹ năng đọc tiếng Anh cơ bản như: đọc lấy thông tin chính, thông tin chi tiết, đoán nghĩa của từ trong văn cảnh, suy luận logic ở trình độ trung cấp.
  * Ngoài ra, người học còn được trang bị vốn từ vựng cần thiết về tiếng Anh nói chung và tiếng Anh cho khoa học nói riêng theo các chủ đề đã học.","Học phần gồm kiến thức nền về các chủ đề đa dạng thuộc các lĩnh vực khác nhau
của các ngành khoa học tự nhiên (cấu tạo vật chất, các nguyên tố, màu sắc, ánh
sáng và âm thanh, chuyển động và trọng lực…), khoa học xã hội và nhân văn, các
kỹ năng đọc các bài khoá dài và làm các dạng bài tập thường gặp trong các kỳ
thi."
3375,3375,FL3032,Kỹ năng đọc tiếng Anh II,3(2-2-0-6),3,4,KNN,FL3031/FL1018,Reading Skills II,0.6,"Sau khi hoàn thành học phần này, yêu cầu sinh viên có khả năng:

  * (1) Nắm được các kỹ năng đọc tiếng Anh cơ bản như: đọc lấy thông tin chính, thông tin chi tiết, đoán nghĩa của từ trong văn cảnh, suy luận logic ở trình độ trung cao cấp; 
  * (2) nắm được vốn từ vựng cần thiết về tiếng Anh nói chung và tiếng Anh cho khoa học nói riêng theo các chủ đề đã học.","Gồm các kiến thức nền về các chủ đề đa dạng thuộc các lĩnh vực khác nhau của
các ngành khoa học tự nhiên cũng như các lĩnh vực khoa học xã hội và nhân văn,
các kỹ năng đọc các bài khoá dài và làm các dạng bài tập thường gặp trong các
kỳ thi."
3376,3376,FL3033,Kỹ năng đọc tiếng Anh III,3(2-2-0-6),3,4,KNN,FL3032,Reading Skills III,0.6,"Sau khi hoàn thành học phần này, yêu cầu sinh viên có khả năng:

  * (1) Nắm được các kỹ năng đọc tiếng Anh cơ bản như: đọc lấy thông tin chính, thông tin chi tiết, đoán nghĩa của từ trong văn cảnh, suy luận logic, tóm tắt thông tin đã đọc được (theo dạng nói hoặc dạng viết) ở trình độ cao cấp;
  * (2) nắm được vốn từ vựng tương đối phong phú về tiếng Anh nói chung và tiếng Anh khoa học nói riêng để có thể sẵn sàng học các môn học tiếng Anh chuyên ngành ở mưc độ chuyên sâu và các môn học dịch nói, dịch viết.","* Khoá học trang bị cho sinh viên các kỹ năng đọc tiếng Anh ở trình độ cao-trung cấp. Nội dung của học phần nhằm cung cấp cho sinh viên kiến thức nền về các chủ đề đa dạng thuộc các lĩnh vực khác nhau của các ngành khoa học kỹ thuật (kim loại; năng lượng, nhiệt và công; thiết bị điều khiển, hệ thống điều hoà không khí), khoa học xã hội và nhân văn (các chủ để về gia đình, các vấn đề toàn cầu, giao tiếp, văn hoá….). 
  * Ngoài ra, sinh viên còn được rèn các kỹ năng đọc các bài khoá dài và làm các dạng bài tập thường gặp trong các kỳ thi."
3377,3377,FL3034,Kỹ năng đọc tiếng Anh IV,3(2-2-0-6),3,4,KNN,FL3033,Reading Skills IV,0.65,,
3378,3378,FL3041,Kỹ năng viết tiếng Anh I,2(2-1-0-4),2,3,KNN, ,Writing Skills I,0.5,"Cuối học phần, sinh viên sẽ có khả năng: Trình bày các kiến thức về các dạng
câu và các loại đoạn văn học thuật cơ bản, phân biệt các loại câu và đoạn văn
khác nhau, sử dụng đa dạng cấu trúc câu cho đúng ngữ pháp và tùy mục đích sử
dụng, nhận diện và chữa lỗi câu, viết các loại đoạn văn học thuật cơ bản.","Học phần được chia thành 2 phần chính:

  * (1) Câu, khái niệm về câu, mệnh đề, các loại câu và mệnh đề, các lỗi câu; 
  * (2) Đoạn, khái quát chung về đoạn, các loại đoạn văn học thuật cơ bản như miêu tả, phân tích quá trình, nêu ý kiến, so sánh, nêu nguyên nhân kết quả"
3379,3379,FL3042,Kỹ năng viết tiếng Anh II,3(2-1-0-6),3,3,KNN,FL3041,Writing Skills II,0.5,"Sau khi hoàn thành học phần này, sinh viên có khả năng viết một bài luận tiếng
Anh có độ dài 250-300 từ trong thời gian 45 phút về các chủ  
đề thông thường với các thể loại khác nhau, biết cách lập dàn ý, phát triển
luận điểm, liên kết đoạn trong bài luận, biết rà soát, chỉnh sửa, nhận xét,
phê bình và biên tập bài viết của các bạn trong lớp.","Bao gồm các quy trình viết một bài luận ngắn, cách viết mở đầu, thân bài và
kết luận, cách liên kết câu, đoạn, biết chác viết các thể loại luận khác nhau
như kể chuyện, so sánh, nguyên nhân-kết quả và nghị luận."
3380,3380,FL3043,Kỹ năng viết tiếng Anh III,3(3-1-0-6),3,4,KNN,FL3042,Writing Skills III,0.5,"Sau khi hoàn thành học phần này, yêu cầu sinh viên có khả năng tóm tắt và
truyền đạt lại thông tin chính từ các nguồn tài liệu, trính dẫn trong bài và
nguồn theo hệ chuẩn MLA và APA. Sinh viên được yêu cầu viết bài luận dài 1000
từ bằng tiếng Anh theo văn phong khoa học với các thể loại khác nhau như phê
bình, nghị luận, biết phân tích, tổng hợp, đặt vấn đề và giải quyết vấn đề.
Sinh viên phải biết sử dụng Tiếng Anh ở trình độ cao cấp với vốn từ vựng và
cấu trúc câu đa dạng, và biết sử dụng ngôn ngữ viết Tiếng Anh quy phạm.","Học phần tập trung vào cấu trúc của một bài luận dài thuộc thể loại phê bình,
nghị luận khoa học, cách đặt vấn đề, tìm hiểu vấn đề, giải quyết vấn đề, kỹ
năng phân tích và tổng hợp thông tin cách sử dụng tài liệu tham khảo: tóm tắt
và truyền đạt lại thông tin chính, trích dẫn, hệ trích dẫn tài liệu tham khảo
MLA và APA."
3381,3381,FL3044,Kỹ năng viết tiếng Anh IV,3(3-1-0-6),3,4,KNN,FL3043,Writing Skills IV,0.5,,
3382,3382,FL3051,Tiếng Anh KT Điện-điện tử I,3(3-1-0-6),3,4,KNN,"FL3013,FL3023,FL3033,FL3043",English for Electrical and Electronic Eng. I,0.5,"Giúp người học làm quen với các loại thuật ngữ khoa học kỹ thuật trong một số
mảng lớn của kỹ thuật điện-điện tử, rèn luyện và nâng cao kỹ năng thực hành
tiếng, rèn luyện và nâng cao kỹ năng viết tóm tắt và thuyết trình.","* (1) tập trung vào các mảng chủ đề chính trong kỹ thuật điện như: Các khái niệm cơ bản trong kỹ thuật điện (dòng điện, điện trường, điện trở, điện dung, các hiện tượng tự cảm v.v.), các loại máy điện (động cơ, máy phát, biến thế), các nhà máy điện, hệ thống truyền dẫn. 
  * (2) Các mảng chủ đề chính trong Điện tử và Viễn thông như Mạch điện, Bán dẫn và tranzito, Sóng điện từ, Biến sóng, Ti vi, Cổng logic, Mạng, Truyền dẫn, Tổng đài ….. Các bài được lựa chọn từ nhiều nguồn tư liệụ khác nhau kết hợp phát triển 4 kỹ năng thực hành tiếng."
3383,3383,FL3052,Tiếng Anh CN Thông tin và Truyền thông I,3(2-2-0-6),3,4,KNN,"FL3013,FL3023,FL3033,FL3043",English for ICT I,0.5,"Khóa học nhằm giúp sinh viên làm quen với các loại thuật ngữ khoa học kỹ thuật
trong một số mảng lớn của chyên ngành Tin học, rèn luyện và nâng cao kỹ năng
thực hành tiếng, rèn luyện và nâng cao kỹ năng viết tóm tắt và thuyết trình.","Gồm các chủ đề cơ bản trong lĩnh vực Tin học và Công nghệ thông tin với kiến
thức và ngôn ngữ phù hợp với trình độ sinh viên.như: Phần cứng máy tính (cấu
tạo cơ bản của hệ thống máy tính, bộ vi xử lý, ổ đĩa cứng, các thiết bị ngoại
vi…, phần mềm (hệ điều hành, phần mềm ứng dụng, ngôn ngữ lập trình), mạng máy
tính (mạng LANs, WANs), Internet, và một số chủ đề khác."
3384,3384,FL3053,Tiếng Anh Cơ khí và Vật liệu I,3(2-2-0-6),3,4,KNN,"FL3013,FL3023,FL3033,FL3043",English for Mechanical Eng.& Material Science I,0.5,"Khóa học được thiết kế nhằm giúp sinh viên làm quen với các loại thuật ngữ
khoa học kỹ thuật trong một số mảng lớn của kỹ thuật cơ khí và luyện kim, rèn
luyện và nâng cao kỹ năng thực hành tiếng, rèn luyện và nâng cao kỹ năng viết
tóm tắt và thuyết trình.","Tập trung vào các mảng chủ đề chính trong cơ khí và luyện kim như: Thiết kế kỹ
thuật, ô tô, hệ thống làm lạnh, bơm, kim loại, lò cao, lò điện, đúc, cán…..
Các bài được lựa chọn từ nhiều nguồn t-aì liệụ khác nhau kết hợp phát triển 4
kỹ năng thực hành tiếng."
3385,3385,FL3054,Tiếng Anh Hóa-Môi trường I,3(2-2-0-4),3,4,KNN,"FL3013,FL3023,FL3033,FL3043",English for Environmental Science I,0.5,"Kết thúc học phần, học viên cần được trang bị các kiến thức cơ bản về khoa học
môi trường, nắm được những khái niệm, thuật ngữ, cấu trúc, một số chương trình
hành động và các dự án môi trường thực hiện tại các nước trên thế giới và tại
Việt nam. Kết hợp với băng video về khoa học môi trường, sinh viên được nắm
bắt thông tin bằng hình ảnh trực quan, các đoạn phim tư liệu về môi trường và
luyện kỹ năng nghe, nói, đọc, viết, phỏng vấn, báo cáo hoặc thuyết trình khoa
học trên cơ sở ngữ liệu về khoa học môi trường.","Gồm các khái niệm cơ bản trong Khoa học Môi truờng như: Cấu tạo của Trái đất,
khí quyển, tầng ozone, hiệu ứng nhà kính, nguồn tài nguyên, ô nhiễm, biến đổi
khí hậu, phát triển bền vững...."
3386,3386,FL3055,Tiếng Anh Kinh tế và Kinh doanh I,3(2-2-0-4),3,4,KNN,"FL3013,FL3023,FL3033,FL3043",English for Economics and Business I,0.5,"Sau khi hoàn thành học phần này, yêu cầu sinh viên có khả năng diễn đạt ý
nghĩa và thuật ngữ tương đương của những thuật ngữ Tiếng Anh cơ bản trong lĩnh
vực kinh doanh và sử dụng chúng thành thạo; trình bày các đặc điểm cơ cấu
doanh nghiệp cũng như các yếu tố tác động chính đến hoạt động của doanh nghiệp
trong môi trường kinh doanh quốc tế; nghe và đọc hiểu các bài nói và bài viết
bằng Tiếng Anh về các chủ đề kinh doanh; rèn luyện kỹ năng làm việc nhóm,
thương thảo và thuyết trình bằng tiếng Anh về các vấn đề kinh doanh đã học;
thực hành các tình huống kinh doanh đơn giản được mô phỏng theo thực tế; rèn
luyện kỹ năng viết thư từ giao dịch thương mại, báo cáo, tóm tắt, biên bản họp
theo các chủ đề đã học.","Bao gồm các kiến thức cơ bản về thương hiệu, cơ cấu tổ chức doanh nghiệp, thay
đổi môi trường kinh doanh, chiến lược sử dụng vốn và quảng bá sản phẩm, văn
hóa kinh doanh, cơ hội làm việc và thăng tiến trong sự nghiệp, giao dịch
thương mại, phẩm chất lãnh đạo, các yếu tố cạnh tranh trong hoạt động kinh
doanh."
3387,3387,FL3060,Lý thuyết dịch,2(2-0-0-4),2,2,KNN, ,Translation & Interpreting Theory,0.7,,
3388,3388,FL3061,Nhập môn Tiếng Anh KHCN,2(2-1-0-4),2,3,KNN, ,Introduction to English for Science and Technology,0.6,,
3389,3389,FL3080,Phương pháp nghiên cứu khoa học,3(3-1-0-6),3,4,KNN,"FL3013,FL3023,FL3033,FL3043",Research Methodology,0.5,"Nhằm trang bị cho sinh viên những kiến thức cơ bản về khái niệm, mục đích và
bản chất của nghiên cứu khoa học cũng như những đặc điểm, quy trình và ứng
dụng của một số phương pháp nghiên cứu khoa học cơ bản, có kinh nghiệm thực
hiện nghiên cứu độc lập trong lĩnh vực khoa học xã hội nói chung và ngôn ngữ
học và giáo dục học nói riêng bằng tiếng Anh, viết được một báo cáo đề tài
nghiên cứu khoa học dưới dạng bài báo tạp chí chuyên ngành hoặc luận văn tốt
nghiệp đại học bằng Tiếng Anh.","Với hướng tiếp cận thực hành, nội dung của học phần bao gồm những khái niệm,
mục đích và bản chất của nghiên cứu khoa học nói chung và một số phương pháp
nghiên cứu khoa học trong lĩnh vực khoa học xã hội và nhân văn (như phương
pháp nghiên cứu thí nghiệm, điều tra số liệu, quan sát, phỏng vấn, v.v.) với
quy trình cụ thể gồm nhiều bước như chọn đề tài nghiên cứu, xác định câu hỏi
nghiên cứu/mục tiêu nghiên cứu, tìm kiếm thông tin, xây dựng cơ sở lý luận,
xác định phương pháp nghiên cứu, thu thập dữ liệu, phân tích và trình bày dữ
liệu, và viết báo cáo."
3390,3390,FL3101,Tiếng Anh CN CN Thông tin I,2(2-1-0-4),2,3,KNN,FL2010,English for IT I,0.6,,
3391,3391,FL3102,Tiếng Anh CN CN Thông tin II,3(3-1-0-6),3,4,KNN,FL3101,English for IT II,0.75,,
3392,3392,FL3103,Tiếng Anh CN Cơ khí,2(2-1-0-4),2,3,KNN,FL2010,English for Mechanical Engineering,0.75,,
3393,3393,FL3104,Tiếng Anh CN Dệt may I,2(2-1-0-4),2,3,KNN,FL2010,English for Garment & Textile I,0.75,,
3394,3394,FL3105,Tiếng Anh CN Dệt may II,3(3-1-0-6),3,4,KNN,FL2010,English for Garment & Textile II,0.75,,
3395,3395,FL3106,Tiếng Anh CN Điện,2(2-1-0-4),2,3,KNN,FL2010,English for Electrical Engineering,0.75,,
3396,3396,FL3107,Tiếng Anh CN Điện tử VT,2(2-1-0-4),2,3,KNN,FL2010,English for Electronics & Telecommunications,0.65,,
3397,3397,FL3108,Tiếng Anh chuyên ngành CN Hóa - Sinh,2(2-1-0-4),2,3,KNN, ,English for Chemistry & Biology,0.75,,
3398,3398,FL3109,Tiếng Anh CN KTế và T.Mại,2(2-1-0-4),2,3,KNN,FL2010,English for Economics & Business,0.8,,
3399,3399,FL3110,Tiếng Anh CN KH & CN Vật liệu,2(2-1-0-4),2,3,KNN,FL2010,English for Material Science & Technology,0.75,,
3400,3400,FL3111,Tiếng Anh CN Môi trường,2(2-1-0-4),2,3,KNN,FL2010,English for Environmental Engineering,0.7,,
3401,3401,FL3112,Tiếng Anh CN Nhiệt lạnh,2(2-1-0-4),2,3,KNN,FL2010,English for Heat Engineering,0.75,,
3402,3402,FL3113,Tiếng Anh CN Vật lý KT,2(2-1-0-4),2,3,KNN,FL2010,English for Engineering Physics,0.7,,
3403,3403,FL3114,Tiếng Anh VN V,2(2-1-0-4),2,3,KNN, ,English V,0.7,,
3404,3404,FL3115,Tiếng Anh VN VI,2(2-1-0-4),2,3,KNN, ,English VI,0.7,,
3405,3405,FL3116,Tiếng Anh VN VII,2(2-1-0-4),2,3,KNN, ,English VII,0.7,,
3406,3406,FL3117,Tiếng Anh CNTT III,2(2-1-0-4),2,3,KNN, ,English for IT III,0.7,,
3407,3407,FL3118,Tiếng Anh Kỹ thuật hạt nhân,2(2-0-0-4),2,2,KNN, ,English for Nuclear Engineering,0.7,"Là học phần bổ trợ giúp sinh viên có thể tự tìm hiểu tài liệu, giao tiếp trong
lĩnh vực Kỹ thuật Hạt nhân. Sau khi học xong học phần này, sinh viên có thể:

  * Làm quen với những văn bản chuyên ngành Kỹ thuật hạt nhân & Vật lý môi trường ở mức độ cơ bản bằng Tiếng Anh với độ khó tăng dần, qua đó tiếp cận và xây dựng vốn thuật ngữ chuyên ngành ở trình độ sơ cấp. 
  * Sử dụng các hiện tượng ngôn ngữ chuyên ngành để có thể nghe hiểu ở mức độ cơ bản. 
  * Phát triển kỹ năng đọc, viết và nói qua các dạng bài tập khác nhau.
  * Trình bày một chủ đề chuyên ngành bằng Tiếng Anh ở mức độ cơ bản.","Introduction to Nuclear Physics. Properties of Nuclei. Nuclear Energy.
Radiation. Applications of Nuclear techniques in health care. Enviromental
Physics."
3408,3408,FL3151,Tiếng Anh Kỹ thuật Điện - Điện tử,2(2-1-0-4),2,3,KNN, ,English for Electrical Engineering and Electronics,0.5,,
3409,3409,FL3152,Tiếng Anh Công nghệ Thông tin và Truyền thông,3(2-2-0-6),3,4,KNN, ,English for Information and Communication Technology,0.6,,
3410,3410,FL3153,Tiếng Anh Cơ khí và Khoa học Vật liệu,3(2-2-0-6),3,4,KNN, ,English for Mechanical Engineering and Materials Science,0.6,,
3411,3411,FL3154,Tiếng Anh Hoá - Môi trường,2(2-1-0-4),2,3,KNN, ,English for Environmental Science,0.5,,
3412,3412,FL3155,Tiếng Anh Kinh tế và Kinh doanh,2(2-1-0-4),2,3,KNN, ,English for Economics and Business,0.5,,
3413,3413,FL3156,Lý thuyết biên - phiên dịch,2(2-0-0-4),2,2,KNN, ,Theory of Translation and Interpretation,0.6,,
3414,3414,FL3157,Phiên dịch,3(2-2-0-6),3,4,KNN,FL3156,Interpretation,0.5,,
3415,3415,FL3158,Biên dịch,3(2-2-0-6),3,4,KNN,FL3156,Translation,0.5,,
3416,3416,FL3210,Ngữ âm và âm vị học,2(2-1-0-4),2,3,KNN,"FL3013,FL3023,FL3033,FL3043",Phonetics & Phonology,0.6,"Cuối học phần, sinh viên phải nắm được khái niệm cơ bản về ngữ âm và âm vị
học, những thuật ngữ cần thiết để mô tả âm thanh lời nói và ký hiệu phiên âm
tiếng Anh, các đặc điểm cơ bản của nguyên âm và phụ âm tiếng Anh, các yếu tố
siêu đoạn tính, có được năng lực phát âm tốt và tự sửa âm cho bản thân cúng
như ứng dụng trong công việc dạy học, phiên dịch…","Cung cấp cho nguời học những hiểu biết cơ bản ở mức độ dẫn luận về ngữ âm và
âm vị học và một số phương pháp nghiên cứu ngữ âm và âm vị học để giúp họ có
một kiến thức nhất định trong việc giảng dạy và nghiên cứu ngôn ngữ."
3417,3417,FL3220,Từ vựng học,2(2-1-0-4),2,3,KNN,FL3210,Lexicology,0.6,"Nhằm trang bị cho người học khái niệm cơ bản về từ vựng học, lịch sử và nguồn
gốc từ vựng tiếng Anh; nhứng thuật ngữ cần thiết về lý thuyết từ, từ vựng; ngữ
nghĩa; lý thuyết về cấu tạo từ; đặc điểm cơ bản của hình vị tiếng Anh; các qui
luật biến đổi của hình vị tiếng Anh; hiểu biết cơ bản về các loại ngữ nghĩa,
hiện tượng đồng âm, đồng nghĩa, trái nghĩa, thành ngữ trong tiếng Anh để có
thể tự phát triển vốn tiếng Anh và tạo tiền đề cho việc tự nghiên cứu một số
vấn đề cụ thể trong lĩnh vực này, cũng như sẽ ứng dụng trong công việc dạy học
và biên phiên dịch sau này.","* Gồm các khái niệm cơ bản về từ vựng học, lịch sử nguồn gốc từ vựng tiếng Anh, những thuật ngữ cần thiết về lý thuyết từ, từ vựng, ngữ nghĩa, lý thuyết về cấu tạo từ, các đặc điểm cơ bản về hình vị tiếng Anh, các quy luật biến đổi của hình vị tiếng Anh. 
  * Ngoài ra, sinh viên cần có được những hiểu biết cơ bản về các loại ngữ nghĩa, hiện tượng đồng âm, đồng nghĩa, trái nghĩa, thành ngữ trong tiếng Anh."
3418,3418,FL3221,Cú pháp học,2(2-1-0-4),2,3,KNN,FL3220,Syntax,0.5,,
3419,3419,FL3230,Ngữ pháp tiếng Anh,2(2-1-0-4),2,3,KNN,FL3220,English Grammar,0.6,"Nhằm cung cấp cho nguời học những hiểu biết cơ bản ở mức độ dẫn luận về từ
vựng học, âm vị, hình vị, và một số phương pháp nghiên cứu ngữ pháp học, cách
tiếp cận trong quá trình nghiên cứu Ngữ pháp, về từ loại, chức năng từ loại,
về cụm từ, mệnh đề và cấu trúc câu, để giúp họ có một kiến thức nhất định
trong việc giảng dạy, biên phiên dịch và nghiên cứu ngôn ngữ.","* Bao gồm các khái niệm cơ bản về Ngữ pháp học, lịch sử và nguồn gốc hình thành và phát triển của ngữ pháp, các khái niệm về cấu trúc cụm từ, mệnh đề, câu trong tiếng Anh, những thuật ngữ cần thiết về lý thuyết các trường phái nghiên cứu ngữ pháp, hướng tiếp cận trong nghiên cứu, lý thuyết về từ loại, chức năng và cách sử dụng, những đặc điểm cơ bản của hình vị tiếng Anh; 
  * Các qui luật biến đổi của hình vị tiếng Anh trong lời nói, những hiểu biết cơ bản về câu, các loại câu ( đơn, ghép, phức), các cấu trúc đảo, sử dụng từ đồng nghĩa, trái nghĩa, thành ngữ trong tiếng Anh để có thể tự phát triển vốn tiếng Anh và tạo tiền đề cho vực này, cũng như sẽ ứng dụng trong công việc dạy học và biên phiên dịch sau này."
3420,3420,FL3240,Phong cách học tiếng Anh,2(2-1-0-4),2,3,KNN,"FL3014, FL3024, FL3034, FL3044",English Language Stylistics,0.7,,
